"Timestamp","Type","Value"
"2014-03-04 16:23:13","Weight Pounds","176.19"
"2014-03-21 18:06:04","Weight Pounds","171.21"
"2014-05-04 00:00:00","Weight Pounds","181.80"
"2014-07-23 20:54:30","Weight Pounds","171.30"
"2014-09-17 11:44:23","Weight Pounds","172.60"
"2014-09-17 11:44:23","Water Percent","63.3"
"2014-09-25 00:00:00","Water Percent","62.8"
"2014-09-25 00:00:00","Weight Pounds","170.20"
"2014-09-25 00:00:00","Sleep Hours","5.00"
"2014-09-25 00:00:00","Sleep Quality","2"
"2014-09-25 00:00:00","Notes","Tossed and turned tonight.  Kept thinking about Betsy lying to me."
"2014-09-27 19:20:08","Water Percent","62.8"
"2014-09-27 19:20:08","Weight Pounds","170.80"
"2014-09-29 00:00:00","Notes","Hunger killed me today - just unstoppable.  I ate as well as I could, but fuck, just couldn't hold on.  Slept a lot the night before too.  Not sure why I was so revved."
"2014-10-02 00:00:00","Muscle Mass Pounds","145.00"
"2014-10-02 00:00:00","Water Percent","60.4"
"2014-10-02 00:00:00","Weight Pounds","169.40"
"2014-10-04 00:00:00","Weight Pounds","168.20"
"2014-10-05 17:16:06","Weight Pounds","167.20"
"2014-10-06 00:00:00","Sleep Hours","4.00"
"2014-10-06 00:00:00","Notes","Fucked this one up.  I was up late - just couldn't sleep - ate pretty well, but then Tucker had another Birthday throw down and I crushed beers and wings.  Fuck me."
"2014-10-10 09:37:36","Notes","FINALLY caught up on Sleep.  Caught up from Sunday now - a week later."
"2014-10-10 09:37:36","Sleep Quality","6"
"2014-10-10 09:37:36","Fatigue","3"
"2014-10-10 09:37:36","Overall Feeling","7"
"2014-10-10 09:37:36","Sleep Hours","9.50"
"2014-10-11 17:58:33","Weight Pounds","169.80"
"2014-10-18 00:00:00","Weight Pounds","169.00"
"2014-10-18 00:00:00","Water Percent","61.2"
